Percent of Students Chronically Absent,Percent HRA Eligible,Student Percent - Black and Hispanic,Percent Students with IEPs,log_dropout_rate,log_temp_housing,log_percent_overage,Economic Need Index,Percent English Language Learners,Average Grade 8 Proficiency,Percent College Ready based on SAT Math,Metric Value - College Persistence,Supportive Environment - Element Score,Graduation Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Took_ACT,Rigorous Instruction - Element Score,Percentage of Students Enrolled in Any Advanced Course,log_enrollment
0.456,0.785,0.833,0.255,0.031498667059371016,0.09712671073072283,0.013902905168991434,0.846,0.095,2.54,0.032,0.347,3.53,0.9335,0.00714,0.4,0.0,3.5,0.275,6.070737728002491
0.61,0.835,0.864,0.32,0.19350874618451905,0.13627761829254773,0.04114194333117521,0.886,0.136,2.395,0.013,0.272,3.5770989010989007,0.7609999999999999,0.00632,0.6,0.0,3.29,0.223,5.736572297479191
0.588,0.851,0.879,0.319,0.175632568643158,0.1839868361130158,0.09984533496971612,0.904,0.161,2.245,0.016,0.441,3.1,0.8625,0.0064599999999999,0.81,0.0,2.18,0.19,5.517452896464708
0.374,0.751,0.808,0.217,0.11911548089016193,0.09349034308733897,0.03729578474369693,0.813,0.1,2.745,0.068,0.37,3.05,0.8185,0.00655,0.384,0.0,3.04,0.219,6.962243464266207
0.383,0.752,0.871,0.161,0.10840587384378633,0.20048886074940356,0.20294084399669038,0.0,0.712,2.125,0.0,0.313,4.02,0.8779999999999999,0.00541,0.491,0.0,3.0,0.565,5.8522024797744745
0.288,0.865,0.893,0.274,0.18937992116140057,0.16211884947643512,0.08434114843375096,0.939,0.182,2.335,0.023,0.172,3.99,0.7585,0.0065799999999999,0.337,0.0,3.52,0.381,5.765191102784844
0.528,0.881,0.977,0.301,0.06109509935981083,0.1501426584297194,0.06859279146561167,0.936,0.128,2.41,0.04,0.224,3.64,0.8585,0.00639,0.92,0.0,3.51,0.736,5.8664680569332965
0.605,0.756,0.8119999999999999,0.269,0.0893835611346854,0.09075436326846413,0.06578774053800315,0.817,0.12,2.5250000000000004,0.044,0.455,2.79,0.8935,0.0062,0.549,0.0,2.8,0.438,6.016157159698353
0.574,0.833,0.889,0.273,0.13584122291141312,0.128393214768399,0.07045846364856137,0.892,0.096,2.43,0.014,0.287,2.57,0.8200000000000001,0.00694,0.292,0.0,2.15,0.668,5.981414211254481
0.386,0.868,0.953,0.221,0.0848006016924651,0.14496577025018564,0.058268908123975824,0.922,0.129,2.625,0.039,0.384,4.19,0.906,0.00631,0.825,0.0,3.75,0.543,6.0014148779611505
0.21,0.758,0.975,0.318,0.07417939817425147,0.1292723357041391,0.05354076692802976,0.843,0.045,2.49,0.075,0.324,3.68,0.8995,0.0068099999999999,0.649,0.0,2.83,0.426,5.66988092298052
0.697,0.863,0.983,0.297,0.025667746748577813,0.14410034397375687,0.011928570865273812,0.921,0.117,2.49,0.085,0.477,3.04,0.9035,0.00592,0.604,0.0,2.95,0.88,5.840641657373398
0.376,0.853,0.951,0.231,0.04401688541677426,0.1629688282781397,0.055434706888100524,0.927,0.095,2.65,0.051,0.41,4.09,0.935,0.0076099999999999,0.462,0.0,3.83,0.424,5.910796644040528
0.576,0.888,0.964,0.238,0.08801087732271339,0.14496577025018564,0.054488185284069776,0.946,0.153,2.5700000000000003,0.069,0.465,3.7,0.911,0.00745,0.875,0.0,3.55,0.591,5.831882477283517
0.439,0.784,0.897,0.222,0.05401458830623835,0.11422114409002285,0.02078253918252841,0.877,0.08,2.93,0.196,0.691,3.31,0.965,0.0077599999999999,0.777,0.0,3.81,0.541,5.963579343618447
0.566,0.921,0.984,0.298,0.08801087732271339,0.15785808461558032,0.058268908123975824,0.0,0.123,2.395,0.014,0.225,3.27,0.7605,0.0067599999999999,0.214,0.0,2.62,0.619,5.53338948872752
0.56,0.892,0.979,0.291,0.04545126290391736,0.15614868248993138,0.051643233151838386,0.942,0.08,2.59,0.038,0.463,3.61,0.899,0.00709,0.529,0.0,3.99,0.444,6.082218910376446
0.401,0.871,0.962,0.225,0.013902905168991214,0.151862349309246,0.005982071677547469,0.92,0.064,2.725,0.096,0.545,3.8,0.9685,0.00679,0.795,0.0,3.89,0.521,5.7430031878094825
0.427,0.862,0.992,0.246,0.06297479916138839,0.14583044821153954,0.010939940038334263,0.92,0.059,2.92,0.208,0.514,3.5770989010989007,0.891,0.00692,0.583,0.0,3.68,0.592,5.916202062607436
0.456,0.931,0.979,0.287,0.04353830201448341,0.19967019512856768,0.06109509935981083,0.0,0.172,2.435,0.071,0.32,3.84,0.917,0.00692,0.557,0.0,3.66,0.42,5.805134968916488
0.395,0.761,0.997,0.051,0.005982071677547469,0.44468582126144574,0.09257918129309317,0.0,0.761,2.005,0.0,0.359,4.44,0.9875,0.00692,0.981,0.0,4.88,0.713,5.8664680569332965
0.583,0.743,0.944,0.029,0.028587456851912472,0.2791457414294946,0.10795714150509236,0.0,0.918,1.91,0.0,0.296,3.5770989010989007,0.9165,0.00502,0.659,0.0,3.52,0.439,5.83773044716594
0.509,0.87,0.93,0.39,0.24098346944254073,0.22314355131420976,0.09531017980432495,0.949,0.13,2.12,0.0,0.271,2.78,0.5795,0.00617,0.026,0.0,1.89,0.49,4.61512051684126
0.524,0.879,0.964,0.266,0.11377501425884468,0.23031775506221003,0.12575120530556025,0.949,0.23,2.325,0.014,0.27,3.19,0.8029999999999999,0.00482,0.322,0.0,2.99,0.348,5.723585101952381
0.334,0.851,0.919,0.312,0.017839918128331016,0.126632650933366,0.017839918128331016,0.911,0.11,2.85,0.156,0.643,3.22,0.9125,0.00674,0.961,0.0,2.63,0.585,5.645446897643238
0.412,0.831,0.976,0.245,0.06812582904760044,0.126632650933366,0.045928931888399735,0.907,0.099,2.7,0.025,0.504,3.15,0.873,0.00612,0.663,0.0,2.57,0.653,6.161207321695076
0.587,0.873,0.991,0.285,0.0912108800533841,0.17395330712343798,0.06109509935981083,0.939,0.163,2.275,0.0,0.186,3.52,0.8365,0.00707,0.306,0.0,3.92,0.538,5.402677381872279
0.535,0.906,0.967,0.39,0.05401458830623835,0.2070141693843261,0.08157998699242285,0.0,0.133,2.15,0.0,0.266,3.09,0.8660000000000001,0.00511,0.947,0.0,3.26,0.967,5.805134968916488
0.294,0.907,0.984,0.341,0.126632650933366,0.25851069515150105,0.06765864847381486,0.0,0.194,2.28,0.0,0.2,3.43,0.7535000000000001,0.00633,0.583,0.0,2.84,0.589,4.867534450455582
0.459,0.751,0.944,0.086,0.04783732941416006,0.33789978861239844,0.23586232372198446,0.0,0.929,1.805,0.014,0.349,3.96,0.911,0.0051,0.589,0.0,4.48,0.609,5.82600010738045
0.405,0.794,0.922,0.2,0.0,0.10345870836822997,0.02176149178151271,0.862,0.047,2.8200000000000003,0.08,0.79,3.42,0.9475,0.0073,0.473,0.0,3.87,0.578,5.771441123130016
0.214,0.482,0.6749999999999999,0.203,0.07510747248680547,0.06859279146561167,0.002995508979798371,0.558,0.064,2.975,0.386,0.681,3.69,0.9305,0.00795,0.703,1.0,3.43,0.651,6.539585955617669
0.581,0.826,0.897,0.316,0.07417939817425147,0.14323416808590772,0.055434706888100524,0.902,0.105,2.675,0.093,0.317,3.54,0.8500000000000001,0.00659,0.355,0.0,3.34,0.584,5.863631175598097
0.661,0.842,0.946,0.281,0.11243542932978817,0.16974277458709455,0.010939940038334263,0.909,0.084,2.585,0.063,0.443,3.21,0.8305,0.00638,0.363,0.0,3.4,0.564,5.908082938168931
0.599,0.836,0.954,0.225,0.036331929247390204,0.1397619423751586,0.0620353909194527,0.901,0.132,2.405,0.018,0.441,3.56,0.85,0.0058099999999999,0.273,1.0,3.64,0.443,5.638354669333745
0.277,0.863,0.977,0.26,0.042101176018635326,0.13540463700620298,0.016857117066422806,0.924,0.173,2.35,0.169,0.508,3.54,0.9925,0.00695,0.846,0.0,2.57,0.592,5.883322388488279
0.598,0.816,0.917,0.294,0.027615167032973172,0.15614868248993138,0.03052920503482279,0.889,0.091,2.62,0.125,0.467,3.33,0.903,0.00713,0.542,0.0,3.17,0.327,5.955837369464831
0.479,0.713,0.952,0.026,0.22554067591393118,0.38797979376714486,0.12221763272424911,0.0,0.909,1.94,0.012,0.252,2.81,0.657,0.00444,0.085,0.0,2.37,0.496,5.442417710521794
0.474,0.863,0.947,0.222,0.11733849241723336,0.16889853646181388,0.04879016416943205,0.902,0.128,2.575,0.022,0.33,3.33,0.8594999999999999,0.0066099999999999,0.758,0.0,2.76,0.534,5.840641657373398
0.48,0.84,1.0,0.084,0.1338750835560276,0.32280787442715503,0.06485097231961626,0.0,0.727,2.17,0.0,0.226,3.74,0.8049999999999999,0.00463,0.773,0.0,2.88,0.602,5.843544417031359
0.897,0.867,0.8420000000000001,0.287,0.08134954569632313,0.1527210870176639,0.07045846364856137,0.922,0.206,2.375,0.047,0.403,3.5770989010989007,0.8385,0.00639,0.255,1.0,3.23,0.564,6.07993319509559
0.409,0.798,0.891,0.184,0.01439588028373234,0.1773090149704103,0.03343477608623742,0.887,0.272,2.615,0.114,0.523,3.75,0.9775,0.00677,0.97,0.0,3.58,0.708,6.437751649736402
0.301,0.755,0.941,0.219,0.05638033343610748,0.1484200051182732,0.003992021269537457,0.846,0.16,2.725,0.1,0.477,3.82,0.8845000000000001,0.00694,0.585,0.0,3.79,0.369,6.267200548541362
0.572,0.858,0.918,0.234,0.0,0.15700374880966467,0.02955880224154443,0.919,0.14,2.675,0.127,0.545,3.85,0.962,0.00586,0.646,0.0,4.64,0.287,5.996452088619021
0.252,0.851,0.954,0.275,0.13758566295256314,0.21913552991667104,0.05921185963184603,0.919,0.235,2.53,0.052,0.272,4.01,0.9015,0.00621,0.542,0.0,3.62,0.773,5.929589143389895
0.299,0.831,0.929,0.243,0.02078253918252841,0.09893994785490366,0.02176149178151271,0.884,0.09,2.895,0.207,0.44,3.42,0.884,0.00716,0.621,0.0,3.42,0.433,5.908082938168931
0.296,0.674,0.923,0.201,0.0,0.0944006754214843,0.02273948696948934,0.777,0.036,2.9400000000000004,0.19,0.702,4.23,0.976,0.0076,1.0,0.0,4.81,0.807,5.976350909297934
0.36,0.853,0.952,0.241,0.0,0.12044615307586726,0.04688358589885046,0.907,0.108,2.59,0.075,0.462,3.54,1.0,0.0067599999999999,0.476,0.0,3.31,0.559,6.030685260261263
0.467,0.831,0.943,0.299,0.010939940038334263,0.1466943791508034,0.025667746748577813,0.896,0.171,2.645,0.203,0.56,3.56,0.9625,0.0063,0.361,0.0,3.96,0.371,5.955837369464831
0.331,0.812,0.859,0.223,0.036331929247390204,0.16211884947643512,0.04879016416943205,0.88,0.086,2.595,0.086,0.537,3.21,0.944,0.00697,0.937,0.0,2.11,0.769,6.952728644624869
0.195,0.706,0.949,0.207,0.004987541511038968,0.10526051065749292,0.023716526617316065,0.796,0.036,2.885,0.175,0.578,3.79,1.0,0.00717,0.974,0.0,3.69,0.706,6.030685260261263
0.107,0.366,0.133,0.021,0.003493889254255617,0.02761516703297339,0.001998002662673058,0.442,0.0,4.1850000000000005,0.963,0.946,4.31,0.996,0.00941,0.997,1.0,4.45,0.907,7.989560449333865
0.35,0.799,0.851,0.17,0.008959741371471801,0.18315454309784654,0.03052920503482279,0.908,0.36,2.765,0.333,0.623,3.74,0.9905,0.00717,0.823,0.0,3.1,0.468,6.035481432524756
0.434,0.64,0.967,0.039,0.027128667388252696,0.3206331725914669,0.2554171118645054,0.0,0.994,1.78,0.0,0.165,3.03,0.9405,0.00314,0.726,0.0,2.92,0.327,5.8111409929767
0.523,0.872,0.93,0.35,0.05448818528406957,0.15529288440603525,0.04974209189481401,0.929,0.069,2.315,0.0,0.342,3.26,0.934,0.0066,0.423,0.0,3.26,0.343,5.616771097666572
0.268,0.861,0.941,0.302,0.042101176018635326,0.16720791898390638,0.05732506661926935,0.921,0.186,2.4000000000000004,0.103,0.373,3.96,0.9315,0.00719,0.944,0.0,4.51,0.415,6.052089168924417
0.603,0.879,0.917,0.294,0.06765864847381486,0.1510028735365274,0.054488185284069776,0.934,0.15,2.35,0.034,0.25,3.02,0.9235,0.00664,0.352,0.0,3.28,0.617,6.023447592961033
0.1,0.261,0.282,0.028,0.0,0.01980262729617973,0.0,0.353,0.0,4.140000000000001,0.966,0.978,4.37,0.989,0.00927,1.0,1.0,4.47,0.744,5.988961416889864
0.492,0.711,0.874,0.18,0.007968169649176881,0.1310282624064042,0.016857117066422806,0.795,0.066,2.73,0.093,0.783,2.79,0.9915,0.00799,0.917,0.0,3.3,0.429,5.860786223465866
0.575,0.836,0.894,0.233,0.2110709700799404,0.16551443847757333,0.10975086395911929,0.894,0.101,2.395,0.0,0.258,3.2,0.7675000000000001,0.00716,0.5,0.0,3.4,0.228,5.247024072160486
0.599,0.823,0.918,0.273,0.14626250697825205,0.1747932903731631,0.09531017980432495,0.886,0.132,2.3,0.0,0.418,3.51,0.857,0.00634,0.191,0.0,3.49,0.705,5.398162701517753
0.306,0.764,0.934,0.195,0.08846864798760819,0.11064652008706365,0.0944006754214843,0.839,0.036,2.41,0.02,0.352,3.55,0.8095000000000001,0.00667,0.803,0.0,3.08,0.571,5.978885764901121
0.347,0.738,0.888,0.304,0.05968300216117384,0.13540463700620298,0.045928931888399735,0.826,0.079,2.475,0.137,0.504,3.77,0.8505,0.0067599999999999,0.56,0.0,3.12,0.315,6.154858094016418
0.237,0.705,0.663,0.205,0.04162167469081945,0.10436001532424286,0.028587456851912472,0.782,0.068,3.015,0.233,0.558,3.69,0.9085,0.00768,0.849,0.0,3.37,0.626,6.322565239927283
0.385,0.844,0.934,0.239,0.07464354299576571,0.2143046026470053,0.058268908123975824,0.905,0.122,2.41,0.053,0.452,3.88,0.878,0.00637,0.4,0.0,2.75,0.5,5.8664680569332965
0.36,0.729,0.752,0.232,0.030044121348376644,0.11064652008706365,0.017839918128331016,0.804,0.119,2.63,0.139,0.439,3.2,0.853,0.00686,0.891,1.0,2.57,0.493,6.07993319509559
0.496,0.82,0.832,0.272,0.1115413747329073,0.11955923505763925,0.04688358589885046,0.872,0.089,2.695,0.065,0.317,2.99,0.851,0.00649,0.413,0.0,3.07,0.452,6.0330862217988015
0.307,0.727,0.919,0.243,0.07649797097272491,0.15700374880966467,0.06297479916138839,0.814,0.072,2.475,0.055,0.307,3.21,0.8285,0.00707,0.706,0.0,3.3,0.515,7.545389749611823
0.394,0.789,0.867,0.254,0.058268908123975824,0.10165365372649982,0.026641930946421092,0.849,0.067,2.615,0.075,0.419,4.02,0.892,0.0065,0.366,0.0,4.5,0.356,5.926926025970411
0.318,0.702,0.708,0.044,0.06531946612064246,0.18647956694261839,0.14928170271575447,0.0,0.806,1.985,0.009,0.327,3.86,0.9155,0.00611,0.633,0.0,3.4,0.456,5.90536184805457
0.249,0.757,0.877,0.05,0.05921185963184603,0.21752781252857398,0.07973496801885353,0.925,0.64,2.3200000000000003,0.049,0.408,4.04,0.908,0.00614,0.518,0.0,3.66,0.73,5.707110264748875
0.332,0.742,0.94,0.232,0.1075082077152852,0.13714983814723364,0.09984533496971612,0.802,0.087,2.35,0.0,0.349,3.93,0.903,0.00622,0.81,0.0,3.86,0.682,5.942799375126701
0.309,0.714,0.847,0.286,0.03777736433402992,0.08342160813907237,0.036331929247390204,0.787,0.07,2.68,0.073,0.5,3.99,0.9275,0.00757,0.638,0.0,3.58,0.469,6.129050210060545
0.472,0.848,0.908,0.314,0.11689375147149943,0.1629688282781397,0.08434114843375096,0.898,0.12,2.41,0.0,0.173,3.36,0.8605,0.0058,0.288,0.0,2.69,0.636,5.648974238161206
0.273,0.82,0.94,0.233,0.12266001273588754,0.15956456967133845,0.11332868530700327,0.872,0.133,2.375,0.044,0.266,3.88,0.843,0.00639,0.556,0.0,4.3,0.633,5.017279836814924
0.404,0.875,0.936,0.277,0.04114194333117521,0.10165365372649982,0.007968169649176881,0.93,0.152,2.51,0.049,0.419,3.52,0.9645,0.00733,0.63,0.0,3.41,0.36,5.929589143389895
0.519,0.917,0.981,0.378,0.17058630057553364,0.22793206804600694,0.13190507087993858,0.0,0.167,2.325,0.02,0.235,2.41,0.7435,0.00529,0.2,0.0,2.3,0.5,5.056245805348308
0.292,0.875,0.975,0.314,0.12883287184296838,0.1764711431157791,0.1239859797809913,0.934,0.189,2.35,0.071,0.298,3.99,0.7889999999999999,0.00633,0.329,0.0,3.37,0.486,5.638354669333745
0.514,0.876,0.957,0.245,0.013902905168991214,0.07232066157962608,0.02273948696948934,0.928,0.124,2.68,0.286,0.547,3.57,0.9505,0.00674,1.0,0.0,3.52,0.788,5.726847747587198
0.509,0.88,0.913,0.298,0.10885440491208206,0.16551443847757333,0.05638033343610769,0.936,0.16,2.4450000000000003,0.071,0.327,3.85,0.8634999999999999,0.00629,0.774,0.0,3.57,0.57,5.993961427306569
0.441,0.593,1.0,0.013,0.06109509935981083,0.28517894223366247,0.15529288440603525,0.0,0.923,1.755,0.0,0.265,4.25,0.918,0.00643,0.662,0.0,4.9,0.441,5.697093486505405
0.383,0.824,0.961,0.269,0.044973365642731196,0.13802129789737458,0.04114194333117521,0.892,0.106,2.69,0.052,0.487,3.41,0.9315,0.0067099999999999,0.485,0.0,3.03,0.532,5.8805329864007
0.557,0.887,0.928,0.267,0.20904462693470804,0.19967019512856768,0.11600367575630612,0.0,0.164,2.245,0.016,0.185,2.84,0.783,0.00567,0.317,0.0,2.39,0.308,5.278114659230517
0.506,0.902,0.967,0.287,0.17772768778372727,0.19721016928770524,0.10165365372649982,0.0,0.186,2.405,0.022,0.49,3.85,0.8225,0.0069999999999999,0.269,0.0,3.85,0.531,5.730099782973574
0.327,0.876,0.95,0.347,0.10795714150509236,0.15529288440603525,0.07510747248680547,0.944,0.192,2.375,0.037,0.36,3.38,0.8035,0.00639,0.339,0.0,2.9,0.332,5.958424693029782
0.302,0.555,0.952,0.031,0.1527210870176639,0.21672298351128702,0.2374408560150342,0.0,0.879,1.945,0.0,0.214,3.28,0.905,0.00582,0.544,0.0,3.0,0.592,5.87493073085203
0.722,0.895,0.949,0.316,0.0902976379807804,0.15785808461558032,0.07417939817425147,0.943,0.158,2.215,0.01,0.274,3.93,0.8425,0.0067599999999999,0.356,0.0,4.11,0.459,6.1224928095143865
0.603,0.892,0.972,0.339,0.24412195769940145,0.1510028735365274,0.08801087732271339,0.928,0.088,2.29,0.013,0.241,2.61,0.8035,0.0057399999999999,0.158,0.0,2.87,0.339,5.529429087511423
0.651,0.827,0.955,0.279,0.10210522293715359,0.13540463700620298,0.03825871211709027,0.875,0.022,2.4450000000000003,0.0,0.346,2.68,0.8475,0.0065599999999999,0.721,0.0,2.53,0.743,5.19295685089021
0.609,0.788,0.969,0.232,0.03777736433402992,0.0778865386570712,0.04974209189481401,0.826,0.01,2.43,0.0,0.25,2.92,0.8545,0.00659,0.472,0.0,2.39,0.939,4.605170185988092
0.516,0.81,0.893,0.322,0.069992371820035,0.12221763272424911,0.0962188577405429,0.856,0.052,2.505,0.058,0.338,3.57,0.863,0.00605,0.309,0.0,3.42,0.438,6.248042874508429
0.2,0.679,0.827,0.161,0.016857117066422806,0.08065790301745454,0.023716526617316065,0.767,0.022,2.865,0.106,0.569,2.83,0.978,0.00717,0.913,0.0,2.7,0.739,6.212606095751519
0.143,0.428,0.121,0.017,0.001998002662673058,0.03343477608623742,0.001998002662673058,0.513,0.001,4.135,0.979,0.843,4.14,0.981,0.0091799999999999,0.995,1.0,4.35,0.984,8.689969335366662
0.405,0.606,0.77,0.031,0.08846864798760819,0.211880359035499,0.22074066669789932,0.934,0.911,2.03,0.016,0.423,4.37,0.845,0.00511,0.754,0.0,4.88,0.445,5.680172609017068
0.627,0.715,0.899,0.174,0.02955880224154443,0.07603468627599758,0.031498667059371016,0.78,0.034,2.885,0.159,0.538,3.62,0.9415,0.00745,0.42,1.0,4.65,0.416,6.093569770045136
0.598,0.81,0.738,0.184,0.039701366851552046,0.10526051065749292,0.03825871211709027,0.869,0.072,2.685,0.097,0.574,2.99,0.964,0.00506,0.986,0.0,2.35,0.675,5.723585101952381
0.722,0.78,0.922,0.339,0.08434114843375096,0.14496577025018564,0.05354076692802976,0.837,0.028,2.68,0.0,0.206,3.42,0.8160000000000001,0.0060999999999999,0.391,1.0,4.06,0.454,5.389071729816501
0.244,0.513,0.856,0.123,0.0,0.06297479916138839,0.004987541511038968,0.626,0.003,3.265,0.32,0.675,3.96,1.0,0.00847,0.9,1.0,4.34,0.644,5.948034989180646
0.387,0.728,0.915,0.279,0.02955880224154443,0.1301506844650451,0.031498667059371016,0.798,0.037,2.62,0.093,0.317,3.25,0.9215,0.0065799999999999,0.771,0.0,3.23,0.415,6.33327962813969
0.496,0.639,0.8979999999999999,0.178,0.0074720148387010564,0.08801087732271339,0.02078253918252841,0.732,0.015,3.14,0.199,0.529,3.11,0.979,0.00797,0.982,1.0,3.0,0.79,6.626717749249025
0.394,0.639,0.841,0.21,0.009950330853168092,0.08250122151174377,0.02761516703297339,0.727,0.049,2.96,0.222,0.513,3.5770989010989007,0.9535,0.00667,0.678,0.0,2.61,0.529,6.063785208687608
0.52,0.832,0.944,0.314,0.02615495747685118,0.1466943791508034,0.036331929247390204,0.925,0.245,2.545,0.015,0.234,3.73,0.738,0.0065599999999999,0.606,0.0,3.45,0.332,5.777652323222656
0.236,0.452,0.2319999999999999,0.035,0.003992021269537457,0.03825871211709027,0.003992021269537457,0.533,0.003,4.065,0.975,0.815,3.8,0.9915,0.00894,0.985,1.0,3.63,0.992,6.683360945766275
0.476,0.74,0.879,0.216,0.010939940038334263,0.13802129789737458,0.014888612493750559,0.834,0.112,2.78,0.099,0.289,3.69,0.919,0.00622,0.61,0.0,3.91,0.291,6.023447592961033
0.38,0.82,0.95,0.266,0.10705907229340776,0.1587116911548208,0.11955923505763925,0.916,0.2,2.405,0.034,0.251,4.02,0.7725,0.00567,0.718,0.0,4.17,0.585,5.981414211254481
0.411,0.616,0.891,0.201,0.11019879229807555,0.15700374880966467,0.09075436326846413,0.905,0.432,2.49,0.029,0.3,3.38,0.8175,0.00599,0.413,0.0,2.45,0.459,6.180016653652572
0.504,0.773,0.848,0.199,0.15315017949367474,0.14410034397375687,0.06297479916138839,0.89,0.196,2.67,0.136,0.332,3.2,0.8525,0.00652,0.619,0.0,3.61,0.594,6.297109319933935
0.186,0.742,0.935,0.174,0.018821754240587667,0.10885440491208206,0.03729578474369693,0.809,0.05,2.83,0.07,0.407,4.33,0.9545,0.00685,0.446,0.0,3.48,0.661,6.326149473155099
0.289,0.728,0.865,0.235,0.003992021269537457,0.1115413747329073,0.02955880224154443,0.805,0.069,2.76,0.147,0.436,4.24,0.9705,0.00778,0.903,0.0,3.94,0.522,6.385194398997725
0.45,0.737,0.8620000000000001,0.213,0.0,0.09075436326846413,0.03440142671733232,0.804,0.047,2.795,0.133,0.483,3.8,0.97,0.0078,0.617,0.0,3.45,0.558,6.530877627725885
0.754,0.879,0.932,0.306,0.035367143837291344,0.14583044821153954,0.04879016416943205,0.936,0.093,2.27,0.0,0.314,3.57,0.77,0.00684,0.738,0.0,3.78,0.865,5.641907070938113
0.33,0.774,0.917,0.331,0.08503024918457561,0.12133228516752496,0.05732506661926935,0.829,0.083,2.505,0.067,0.316,3.94,0.836,0.00705,0.508,0.0,3.74,0.438,5.921578419643815
0.624,0.788,0.863,0.238,0.016857117066422806,0.13802129789737458,0.025667746748577813,0.865,0.063,2.685,0.082,0.649,3.75,0.958,0.00682,0.525,0.0,3.61,0.587,5.247024072160486
0.703,0.831,0.958,0.312,0.13802129789737458,0.10975086395911929,0.04114194333117521,0.89,0.18,2.21,0.0,0.17,3.81,0.7845,0.0074,0.696,0.0,4.35,0.476,5.247024072160486
0.403,0.648,0.881,0.214,0.0,0.07045846364856137,0.011928570865273812,0.719,0.015,2.945,0.123,0.514,3.62,0.98,0.00799,0.58,0.0,3.92,0.606,5.793013608384144
0.666,0.655,0.728,0.27,0.044495239886551304,0.08434114843375096,0.02273948696948934,0.724,0.053,2.64,0.105,0.57,3.5770989010989007,0.943,0.00726,0.987,1.0,4.29,0.559,5.986452005284438
0.56,0.746,0.872,0.226,0.069992371820035,0.13190507087993858,0.042101176018635326,0.823,0.063,2.705,0.049,0.382,3.11,0.8905000000000001,0.00739,0.354,0.0,4.44,0.725,6.1355648910817395
0.653,0.647,0.742,0.217,0.1336563848126736,0.10255658832509215,0.13627761829254773,0.857,0.342,2.465,0.031,0.16,2.96,0.7404999999999999,0.00563,0.719,0.0,2.3,0.22,5.69035945432406
0.568,0.664,0.8220000000000001,0.256,0.044973365642731196,0.10074990310014315,0.016857117066422806,0.746,0.067,2.79,0.19,0.481,3.74,0.875,0.00707,0.791,0.0,4.26,0.706,5.888877958332881
0.476,0.428,0.577,0.202,0.03512580197537409,0.08250122151174377,0.03825871211709027,0.533,0.058,2.96,0.277,0.538,3.42,0.9045,0.00704,0.681,1.0,3.8,0.776,5.894402834264851
0.466,0.667,0.896,0.183,0.1075082077152852,0.1839868361130158,0.1501426584297194,0.83,0.217,2.635,0.011,0.292,3.46,0.843,0.00628,0.695,0.0,3.56,0.498,5.793013608384144
0.452,0.815,0.497,0.156,0.16974277458709455,0.13802129789737458,0.16974277458709455,0.919,0.481,2.3600000000000003,0.038,0.283,3.96,0.8285,0.00513,0.385,0.0,3.66,0.607,4.912654885736052
0.397,0.523,0.789,0.159,0.01291622526654623,0.050693114315518165,0.011928570865273812,0.607,0.005,3.14,0.121,0.532,3.41,0.965,0.00753,0.712,1.0,3.54,0.505,6.825460036255307
0.577,0.792,0.7729999999999999,0.199,0.05897620510029726,0.09257918129309317,0.06485097231961626,0.885,0.237,2.615,0.101,0.374,3.28,0.893,0.00689,0.737,1.0,3.08,0.802,7.2485040723706105
0.259,0.46,0.3309999999999999,0.157,0.0,0.035367143837291344,0.007968169649176881,0.529,0.008,3.685,0.871,0.803,4.07,0.997,0.0090599999999999,0.994,1.0,4.11,0.701,6.579251212010101
0.505,0.81,0.922,0.323,0.07557118684707403,0.20375683751401963,0.09531017980432495,0.876,0.05,2.36,0.033,0.208,3.47,0.7745,0.0065099999999999,0.5,0.0,2.87,0.356,5.991464547107982
0.527,0.798,0.918,0.217,0.06719124954032338,0.12044615307586726,0.04114194333117521,0.865,0.068,2.595,0.037,0.358,2.65,0.9225,0.00654,0.573,0.0,3.4736402569593148,0.571,6.302618975744904
0.547,0.862,0.8620000000000001,0.266,0.126632650933366,0.1527210870176639,0.08157998699242285,0.921,0.144,2.49,0.027,0.167,3.01,0.8625,0.0058,0.216,0.0,2.71,0.665,5.241747015059643
